rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,title,author,date
11,2,0804139024,9780804139021,Crown,THE MARTIAN,Andy Weir,2014-03-11
12,77,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-03-11
13,2,0399159738,9780399159732,Putnam,THE COUNTERFEIT AGENT,Alex Berenson,2014-03-11
14,15,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-03-11
15,1,1451693567,9781451693560,Scribner,THE MUSEUM OF EXTRAORDINARY THINGS,Alice Hoffman,2014-03-11
1,1,0316211125,9780316211123,"Little, Brown",PRIVATE L.A.,James Patterson and Mark Sullivan,2014-03-04
2,17,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-03-04
3,1,0345505751,9780345505750,Ballantine,KILLER,Jonathan Kellerman,2014-03-04
4,6,0670024783,9780670024780,Viking,THE INVENTION OF WINGS,Sue Monk Kidd,2014-03-04
5,3,1400065755,9781400065752,Random House,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,2014-03-04
6,2,0385351836,9780385351836,Knopf,ONE MORE THING,B J Novak,2014-03-04
7,17,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-03-04
8,1,0399159738,9780399159732,Putnam,THE COUNTERFEIT AGENT,Alex Berenson,2014-03-04
9,76,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-03-04
10,14,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-03-04
11,5,0316207047,9780316207041,"Little, Brown",FIRST LOVE,James Patterson and Emily Raymond,2014-03-04
12,1,0804139024,9780804139021,Crown,THE MARTIAN,Andy Weir,2014-03-04
13,21,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-03-04
14,3,0385349580,9780385349581,Knopf,AN OFFICER AND A SPY,Robert Harris,2014-03-04
15,13,0399159347,9780399159343,Amy Einhorn/Putnam,THE HUSBAND'S SECRET,Liane Moriarty,2014-03-04
1,16,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-02-25
2,5,0670024783,9780670024780,Viking,THE INVENTION OF WINGS,Sue Monk Kidd,2014-02-25
3,2,1400065755,9781400065752,Random House,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,2014-02-25
4,1,0385351836,9780385351836,Knopf,ONE MORE THING,B J Novak,2014-02-25
5,16,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-02-25
6,4,0316207047,9780316207041,"Little, Brown",FIRST LOVE,James Patterson and Emily Raymond,2014-02-25
7,75,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-02-25
8,13,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-02-25
9,2,0385349580,9780385349581,Knopf,AN OFFICER AND A SPY,Robert Harris,2014-02-25
10,12,0399159347,9780399159343,Amy Einhorn/Putnam,THE HUSBAND'S SECRET,Liane Moriarty,2014-02-25
11,1,0399166300,9780399166303,Putnam,CELL,Robin Cook,2014-02-25
12,3,0345516532,9780345516534,Ballantine,UNDER THE WIDE AND STARRY SKY,Nancy Horan,2014-02-25
13,1,1250050936,9781250050939,St. Martin's,CONFESSIONS OF A WILD CHILD,Jackie Collins,2014-02-25
14,20,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-02-25
15,1,0062291408,9780062291400,Harper,RIPPER,Isabel Allende,2014-02-25
1,4,0670024783,9780670024780,Viking,THE INVENTION OF WINGS,Sue Monk Kidd,2014-02-18
2,15,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-02-18
3,1,1400065755,9781400065752,Random House,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,2014-02-18
4,3,0316207047,9780316207041,"Little, Brown",FIRST LOVE,James Patterson and Emily Raymond,2014-02-18
5,15,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-02-18
6,12,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-02-18
7,74,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-02-18
8,1,0385349580,9780385349581,Knopf,AN OFFICER AND A SPY,Robert Harris,2014-02-18
9,9,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2014-02-18
10,2,0345516532,9780345516534,Ballantine,UNDER THE WIDE AND STARRY SKY,Nancy Horan,2014-02-18
11,11,0399159347,9780399159343,Amy Einhorn/Putnam,THE HUSBAND'S SECRET,Liane Moriarty,2014-02-18
12,2,0062196243,9780062196248,Harper,THE DAYS OF ANNA MADRIGAL,Armistead Maupin,2014-02-18
13,19,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-02-18
14,9,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2014-02-18
15,4,0399164154,9780399164156,Putnam,STANDUP GUY,Stuart Woods,2014-02-18
1,14,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-02-11
2,3,0670024783,9780670024780,Viking,THE INVENTION OF WINGS,Sue Monk Kidd,2014-02-11
3,2,0316207047,9780316207041,"Little, Brown",FIRST LOVE,James Patterson and Emily Raymond,2014-02-11
4,14,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-02-11
5,1,125001980X,9781250019806,St. Martin's,LOST LAKE,Sarah Addison Allen,2014-02-11
6,11,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-02-11
7,1,0062196243,9780062196248,Harper,THE DAYS OF ANNA MADRIGAL,Armistead Maupin,2014-02-11
8,73,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-02-11
9,1,0345516532,9780345516534,Ballantine,UNDER THE WIDE AND STARRY SKY,Nancy Horan,2014-02-11
10,8,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2014-02-11
11,10,0399159347,9780399159343,Amy Einhorn/Putnam,THE HUSBAND'S SECRET,Liane Moriarty,2014-02-11
12,3,0399164154,9780399164156,Putnam,STANDUP GUY,Stuart Woods,2014-02-11
13,8,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2014-02-11
14,18,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-02-11
15,9,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2014-02-11
1,2,0670024783,9780670024780,Viking,THE INVENTION OF WINGS,Sue Monk Kidd,2014-02-04
2,13,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-02-04
3,1,0316207047,9780316207041,"Little, Brown",FIRST LOVE,James Patterson and Emily Raymond,2014-02-04
4,10,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-02-04
5,13,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-02-04
6,1,0385344058,9780385344050,Delacorte,THE DEAD IN THEIR VAULTED ARCHES,Alan Bradley,2014-02-04
7,72,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-02-04
8,2,0399164154,9780399164156,Putnam,STANDUP GUY,Stuart Woods,2014-02-04
9,7,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2014-02-04
10,2,0525953086,9780525953081,Dutton,FEAR NOTHING,Lisa Gardner,2014-02-04
11,9,0399159347,9780399159343,Amy Einhorn/Putnam,THE HUSBAND'S SECRET,Liane Moriarty,2014-02-04
12,7,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2014-02-04
13,1,0525954287,9780525954286,Dutton,MRS. LINCOLN'S RIVAL,Jennifer Chiaverini,2014-02-04
14,1,0316224553,9780316224550,"Little, Brown",SAINTS OF THE SHADOW BIBLE,Ian Rankin,2014-02-04
15,17,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-02-04
1,1,0670024783,9780670024780,Viking,THE INVENTION OF WINGS,Sue Monk Kidd,2014-01-28
2,12,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-01-28
3,1,0425270793,9780425270790,Berkley,DARK WOLF,Christine Feehan,2014-01-28
4,1,0399164154,9780399164156,Putnam,STANDUP GUY,Stuart Woods,2014-01-28
5,12,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-01-28
6,2,0399160671,9780399160677,Putnam,HAZARDOUS DUTY,W E B Griffin and William E Butterworth IV,2014-01-28
7,1,0061969702,9780061969706,Harper,THE PAGAN LORD,Bernard Cornwell,2014-01-28
8,9,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-01-28
9,1,0525953086,9780525953081,Dutton,FEAR NOTHING,Lisa Gardner,2014-01-28
10,1,0399165126,9780399165122,Putnam,RIVER ROAD,Jayne Ann Krentz,2014-01-28
11,6,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2014-01-28
12,71,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-01-28
13,16,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-01-28
14,6,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2014-01-28
15,7,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2014-01-28
1,11,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-01-21
2,11,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-01-21
3,1,0399160671,9780399160677,Putnam,HAZARDOUS DUTY,W E B Griffin and William E Butterworth IV,2014-01-21
4,8,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-01-21
5,5,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2014-01-21
6,15,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-01-21
7,6,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2014-01-21
8,5,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2014-01-21
9,7,1455521310,9781455521319,Grand Central,KING AND MAXWELL,David Baldacci,2014-01-21
10,7,0345542886,9780345542885,Bantam,TAKEDOWN TWENTY,Janet Evanovich,2014-01-21
11,1,0399165894,9780399165894,Putnam,THE DEATH TRADE,Jack Higgins,2014-01-21
12,29,0385537859,9780385537858,Doubleday,INFERNO,Dan Brown,2014-01-21
13,16,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2014-01-21
14,4,0553808036,9780553808032,Bantam,INNOCENCE,Dean Koontz,2014-01-21
15,70,030758836X,9780307588364,Crown,GONE GIRL,Gillian Flynn,2014-01-21
1,10,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-01-14
2,7,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-01-14
3,14,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-01-14
4,4,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2014-01-14
5,10,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-01-14
6,5,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2014-01-14
7,15,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2014-01-14
8,28,0385537859,9780385537858,Doubleday,INFERNO,Dan Brown,2014-01-14
9,6,0345542886,9780345542885,Bantam,TAKEDOWN TWENTY,Janet Evanovich,2014-01-14
10,4,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2014-01-14
11,6,1455521310,9781455521319,Grand Central,KING AND MAXWELL,David Baldacci,2014-01-14
12,3,0553808036,9780553808032,Bantam,INNOCENCE,Dean Koontz,2014-01-14
13,24,159463176X,9781594631764,Riverhead,AND THE MOUNTAINS ECHOED,Khaled Hosseini,2014-01-14
14,7,0062107313,9780062107312,Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,2014-01-14
15,9,0316201642,9780316201643,"Mulholland/Little, Brown",S.,Doug Dorst,2014-01-14
1,9,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2014-01-07
2,6,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2014-01-07
3,9,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2014-01-07
4,3,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2014-01-07
5,13,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2014-01-07
6,4,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2014-01-07
7,5,0345542886,9780345542885,Bantam,TAKEDOWN TWENTY,Janet Evanovich,2014-01-07
8,14,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2014-01-07
9,27,0385537859,9780385537858,Doubleday,INFERNO,Dan Brown,2014-01-07
10,5,1455521310,9781455521319,Grand Central,KING AND MAXWELL,David Baldacci,2014-01-07
11,3,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2014-01-07
12,23,159463176X,9781594631764,Riverhead,AND THE MOUNTAINS ECHOED,Khaled Hosseini,2014-01-07
13,2,0553808036,9780553808032,Bantam,INNOCENCE,Dean Koontz,2014-01-07
14,8,0316201642,9780316201643,"Mulholland/Little, Brown",S.,Doug Dorst,2014-01-07
15,4,0316074314,9780316074315,"Little, Brown",THE LUMINARIES,Eleanor Catton,2014-01-07
1,8,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2013-12-31
2,5,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2013-12-31
3,2,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2013-12-31
4,8,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2013-12-31
5,12,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2013-12-31
6,3,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2013-12-31
7,2,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2013-12-31
8,4,0345542886,9780345542885,Bantam,TAKEDOWN TWENTY,Janet Evanovich,2013-12-31
9,1,0553808036,9780553808032,Bantam,INNOCENCE,Dean Koontz,2013-12-31
10,4,1455521310,9781455521319,Grand Central,KING AND MAXWELL,David Baldacci,2013-12-31
11,13,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2013-12-31
12,7,0316201642,9780316201643,"Mulholland/Little, Brown",S.,Doug Dorst,2013-12-31
13,22,159463176X,9781594631764,Riverhead,AND THE MOUNTAINS ECHOED,Khaled Hosseini,2013-12-31
14,26,0385537859,9780385537858,Doubleday,INFERNO,Dan Brown,2013-12-31
15,6,0062107313,9780062107312,Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,2013-12-31
1,1,0399160477,9780399160479,Putnam,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2013-12-24
2,7,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2013-12-24
3,1,0316069515,9780316069519,"Little, Brown",THE GODS OF GUILT,Michael Connelly,2013-12-24
4,11,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2013-12-24
5,2,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2013-12-24
6,4,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2013-12-24
7,7,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2013-12-24
8,3,0345542886,9780345542885,Bantam,TAKEDOWN TWENTY,Janet Evanovich,2013-12-24
9,3,1455521310,9781455521319,Grand Central,KING AND MAXWELL,David Baldacci,2013-12-24
10,25,0385537859,9780385537858,Doubleday,INFERNO,Dan Brown,2013-12-24
11,6,0316201642,9780316201643,"Mulholland/Little, Brown",S.,Doug Dorst,2013-12-24
12,12,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2013-12-24
13,5,0062107313,9780062107312,Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,2013-12-24
14,4,0399157573,9780399157578,Putnam,DUST,Patricia Cornwell,2013-12-24
15,21,159463176X,9781594631764,Riverhead,AND THE MOUNTAINS ECHOED,Khaled Hosseini,2013-12-24
1,1,0316210919,9780316210911,"Little, Brown",CROSS MY HEART,James Patterson,2013-12-17
2,6,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2013-12-17
3,2,0345542886,9780345542885,Bantam,TAKEDOWN TWENTY,Janet Evanovich,2013-12-17
4,3,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2013-12-17
5,2,1455521310,9781455521319,Grand Central,KING AND MAXWELL,David Baldacci,2013-12-17
6,10,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2013-12-17
7,5,0316201642,9780316201643,"Mulholland/Little, Brown",S.,Doug Dorst,2013-12-17
8,6,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2013-12-17
9,11,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2013-12-17
10,1,0062136585,9780062136589,Harper,THE SUPREME MACARONI COMPANY,Adriana Trigiani,2013-12-17
11,3,0399157573,9780399157578,Putnam,DUST,Patricia Cornwell,2013-12-17
12,4,0062107313,9780062107312,Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,2013-12-17
13,24,0385537859,9780385537858,Doubleday,INFERNO,Dan Brown,2013-12-17
14,4,1400065941,9781400065943,Random House,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,2013-12-17
15,3,1455525839,9781455525836,Grand Central,WHITE FIRE,Douglas Preston and Lincoln Child,2013-12-17
1,1,0345542886,9780345542885,Bantam,TAKEDOWN TWENTY,Janet Evanovich,2013-12-10
2,1,1455521310,9781455521319,Grand Central,KING AND MAXWELL,David Baldacci,2013-12-10
3,5,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2013-12-10
4,2,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2013-12-10
5,5,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2013-12-10
6,2,0399157573,9780399157578,Putnam,DUST,Patricia Cornwell,2013-12-10
7,9,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2013-12-10
8,3,0062107313,9780062107312,Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,2013-12-10
9,4,0316201642,9780316201643,"Mulholland/Little, Brown",S.,Doug Dorst,2013-12-10
10,10,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2013-12-10
11,2,1455525839,9781455525836,Grand Central,WHITE FIRE,Douglas Preston and Lincoln Child,2013-12-10
12,3,0399158081,9780399158087,Putnam,MIRAGE,Clive Cussler with Jack Du Brul,2013-12-10
13,3,1400065941,9781400065943,Random House,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,2013-12-10
14,23,0385537859,9780385537858,Doubleday,INFERNO,Dan Brown,2013-12-10
15,5,0061941026,9780061941023,Harper,WE ARE WATER,Wally Lamb,2013-12-10
1,1,0062294377,9780062294371,Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2013-12-03
2,4,0385537131,9780385537131,Doubleday,SYCAMORE ROW,John Grisham,2013-12-03
3,1,0399157573,9780399157578,Putnam,DUST,Patricia Cornwell,2013-12-03
4,1,1455525839,9781455525836,Grand Central,WHITE FIRE,Douglas Preston and Lincoln Child,2013-12-03
5,4,0316055433,9780316055437,"Little, Brown",THE GOLDFINCH,Donna Tartt,2013-12-03
6,8,1476727651,9781476727653,Scribner,DOCTOR SLEEP,Stephen King,2013-12-03
7,2,0062107313,9780062107312,Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,2013-12-03
8,9,1455520659,9781455520657,Grand Central,THE LONGEST RIDE,Nicholas Sparks,2013-12-03
9,2,0399158081,9780399158087,Putnam,MIRAGE,Clive Cussler with Jack Du Brul,2013-12-03
